,Chatting,link_count,word_count,sentence_length,has_numeric,has_emoticon,language_detection,language_py3_detection,py3_confidence,stopword_count,repeated_chars_count,sentiment_score,pos_tag_counts,flesch_reading_ease,gunning_fog_index
44,Yaaani bhai farukh kil aaaaya hua,0,6,33,False,False,so,tl,-28.452848,0,5,0,"{'NNP': 1, 'NN': 5}",116.15,2.4
45,Sae sae,0,2,7,False,False,tl,en,9.06184,0,0,0,"{'NNP': 1, 'NN': 1}",120.21,0.8
46,Aanti log??,0,2,11,False,False,tl,it,1.7285585,0,1,0,"{'NNP': 1, 'NN': 1, '.': 2}",77.91,0.8
47,O ghar,0,2,6,False,False,cy,en,-0.17500687,1,0,0,"{'NNP': 1, 'NN': 1}",120.21,0.8
48,"Saeee
Sundas no rkh Lena c",0,6,26,False,False,pt,pt,-52.696106,1,2,-0.296,"{'NNP': 3, 'DT': 1, 'NN': 2}",99.23,2.4
49,O wi ghar,0,3,9,False,False,cy,en,-0.17500687,1,0,0,"{'NNP': 1, 'NN': 2}",119.19,1.2
50,Rkh Lena c ithe,0,4,15,False,False,en,en,-23.374737,0,0,0,"{'NNP': 2, 'VBZ': 1, 'NN': 1}",118.18,1.6
51,Nai menu akelei kuch hunda ni kadei lekin pata nai,0,10,50,False,False,id,nn,-54.25918,0,0,0,"{'NNP': 1, 'NN': 7, 'JJ': 1, 'FW': 1}",95.17,4
52,O kudh nai rehendi ke tu nai,0,7,28,False,False,et,eu,-49.587563,1,0,0,"{'NNP': 1, 'VBD': 1, 'JJ': 1, 'NN': 4}",89.75,8.51
53,,0,0,0,False,False,Unknown,en,9.06184,0,0,0,{},206.84,0
54,Meno v kaafi arsa ho gia mile hoye oono,0,9,39,False,False,so,sw,-52.879326,0,2,0,"{'NNP': 1, 'NN': 8}",104.64,3.6
55,Ba g hania aaaai si judun buhat zor laaaya ke aaa ja naaal nai aaai ami me baaad wich kia ke chal jaaandi kehndei ba g Hamna nai gi,0,29,131,False,False,so,sw,-356.00458,1,15,-0.6369,"{'NNP': 2, 'NN': 19, 'IN': 2, 'JJ': 3, 'PRP': 1, 'VBP': 1, 'FW': 1}",84.34,11.6
56,Fr jidun aaaai mere naaal ami te sundas you wi nai rai anti ne buhat zor laaaya ke tu nai,0,20,89,False,False,id,ms,-256.0412,1,7,-0.3182,"{'NNP': 1, 'NN': 12, 'JJ': 3, 'RB': 1, 'PRP': 1, 'VBP': 1, 'IN': 1}",93.48,8
57,,0,0,0,False,False,Unknown,en,9.06184,0,0,0,{},206.84,0
58,Haaaye sdkeeee java,0,3,19,False,False,et,en,-18.216133,0,5,0,"{'NNP': 1, 'NN': 2}",59.97,1.2
59,,0,0,0,False,False,Unknown,en,9.06184,0,0,0,{},206.84,0
60,Bs hun O ghar tu hiatel mein ithei,0,8,34,False,False,cy,ga,-87.349365,1,0,0,"{'NNP': 2, 'NN': 6}",88.74,8.2
61,Chl zindagi rhi te mila ge,0,6,26,False,False,it,eu,-52.81311,0,0,0,"{'NNP': 2, 'NN': 4}",90.77,2.4
62,Hmmm in shaa Allah sundas nu kia,0,7,32,False,False,et,ms,-95.896065,1,4,-0.6369,"{'NNP': 2, 'IN': 1, 'JJ': 1, 'NN': 3}",81.29,2.8
63,Kii,0,1,3,False,False,sw,en,9.06184,0,1,0,{'NNP': 1},121.22,0.4
64,Yaaaani sundas nu kia ke mila ge,0,7,32,False,False,et,eo,-76.115326,0,3,-0.6369,"{'NNP': 1, 'VBD': 2, 'JJ': 1, 'NN': 2, 'CD': 1}",89.75,2.8
65,G Inshaa Allah,0,3,14,False,False,so,fi,-14.88467,0,2,0,{'NNP': 3},59.97,1.2
66,In shaa Allah,0,3,13,False,False,so,fi,-14.88467,1,2,0,"{'IN': 1, 'NN': 1, 'NNP': 1}",93.81,1.2
67,G,0,1,1,False,False,de,en,9.06184,0,0,0,{'NN': 1},121.22,0.4
68,Aik sheir pejdan,0,3,16,False,False,sq,en,-30.892334,0,0,0,"{'NNP': 1, 'NN': 2}",59.97,14.53
69,Download ho ria,0,3,15,False,False,en,sk,-8.80968,0,0,0,"{'NNP': 1, 'NN': 2}",93.81,1.2
70,Aaaye,0,1,5,False,False,so,en,9.06184,0,1,0,{'NN': 1},121.22,0.4
71,Mazei da wa,0,3,11,False,False,sw,de,-49.952526,0,0,0,"{'NNP': 1, 'NN': 2}",119.19,1.2
72,Bht,0,1,3,False,False,sq,en,9.06184,0,0,0,{'NN': 1},121.22,0.4
73,Hor tu suna,0,3,11,False,False,id,en,-14.429674,0,0,0,"{'NNP': 1, 'NN': 2}",119.19,1.2
74,Aaj mera gussei da mood nai,0,6,27,False,False,et,it,-35.878887,0,2,0,"{'NNP': 1, 'NN': 5}",99.23,2.4
75,Kush ni sunan no,0,4,16,False,False,tl,id,-20.867023,1,0,-0.296,"{'NNP': 1, 'CC': 1, 'VBZ': 1, 'DT': 1}",118.18,1.6
76,Lg v ria,0,3,8,False,False,sk,sl,-8.368329,0,0,0,"{'NNP': 1, 'NN': 2}",119.19,1.2
77,Almost kinni deir social media band rakhia huna mein,0,9,52,False,False,id,cy,-151.06349,0,1,0,"{'RB': 1, 'VB': 1, 'JJ': 3, 'NNS': 1, 'VBP': 1, 'NN': 2}",62.34,3.6
78,"Maloom nii
Lkn me interrupt nii krna chah rhi",0,9,45,False,False,et,id,-63.460983,1,4,-0.34,"{'NNP': 2, 'NN': 4, 'PRP': 1, 'JJ': 2}",79.26,8.04
79,Matlab,0,1,6,False,False,tl,en,9.06184,0,0,0,{'NN': 1},36.62,0.4
80,Oodn aalia glla tu bd meno lgia c,0,8,33,False,False,it,it,-69.0844,0,2,0,"{'NNP': 1, 'VBZ': 1, 'NN': 6}",114.12,3.2
81,Ki,0,1,2,False,False,sw,en,9.06184,0,0,0,{'NNP': 1},121.22,0.4
82,"Kush nhi 
Hor ki ho ria",0,6,23,False,False,sw,xh,-24.432713,0,0,0,"{'NNP': 2, 'CC': 1, 'VBP': 1, 'NN': 2}",116.15,2.4
83,Nai das mood theekh aa,0,5,22,False,False,so,en,-76.08661,0,3,0,"{'NNP': 1, 'VBD': 1, 'NN': 3}",117.16,2
84,Ki ho ria?),0,3,11,False,False,sw,sk,-8.80968,0,0,0,"{'NNP': 1, 'NN': 2, '.': 1, ')': 1}",119.19,1.2
85,Bs samjh lei yaaad aaai tw mood theeekh si kr lia msg,0,12,53,False,False,so,en,-109.18967,0,7,0,"{'NNP': 1, 'NN': 10, 'VBD': 1}",110.06,4.8
86,"Sae ho gia
Hor ctn da mosm kida",0,8,31,False,False,pt,eu,-20.19574,0,0,0,"{'NNP': 2, 'NN': 6}",105.66,3.2
87,Garmi,0,1,5,False,False,es,en,9.06184,0,0,0,{'NN': 1},36.62,0.4
88,Ithe v bht aa,0,4,13,False,False,en,en,-20.309837,0,1,0,"{'NNP': 1, 'NN': 3}",118.18,1.6
89,Wesei mein ona si fss,0,5,21,False,False,de,nn,-39.90506,0,1,0,"{'NNP': 1, 'NN': 2, 'VBZ': 1, 'JJ': 1}",100.24,2
90,Fsd,0,1,3,False,False,de,en,9.06184,0,0,0,{'NN': 1},121.22,0.4
91,Fr mein kya iddan hi koi issue na ban jaawei,0,10,44,False,False,id,id,-106.896126,0,3,-0.5574,"{'NNP': 1, 'NN': 4, 'VBD': 1, 'JJ': 2, 'NNS': 1, 'RB': 1}",95.17,4
92,Te aa jaanda,0,3,12,False,False,et,et,-14.541042,0,2,0,"{'NNP': 1, 'NN': 2}",93.81,1.2
93,Issue q kes cheez da,0,5,20,False,False,fr,fr,-43.98438,0,2,0,"{'NNP': 1, 'VBZ': 1, 'NNS': 1, 'NN': 2}",100.24,2
94,Nai,0,1,3,False,False,vi,en,9.06184,0,0,0,{'NN': 1},121.22,0.4
95,Q,0,1,1,False,False,vi,en,9.06184,0,0,0,{'NN': 1},121.22,0.4
96,Yaaani aaaya te tere kol aaaya te mein aeis lai ondan aaaya te dill krna milan da te iddan hi koi issue howei aeis lai nai onda,0,27,127,False,False,id,af,-357.02048,0,11,0,"{'NNP': 1, 'NN': 18, 'RB': 1, 'VBZ': 2, 'JJ': 3, 'VB': 1, 'FW': 1}",77.91,10.8
97,"Me bahir nhi jandi...Hostel ch miln di ijazat nhi 
So",0,10,53,False,False,id,id,-102.63917,2,2,0,"{'NNP': 2, 'NN': 6, ':': 1, 'VBP': 1, 'NNS': 1, 'RB': 1}",100.24,2
98,Nai issue nai mein college aaa jawan ga,0,8,39,False,False,nl,af,-84.48717,0,4,0,"{'NNP': 1, 'NN': 5, 'RB': 1, 'JJ': 1}",88.74,3.2
99,Dill hua te,0,3,11,False,False,id,en,-12.907101,0,1,0,"{'NNP': 1, 'VBZ': 1, 'NN': 1}",119.19,1.2
100,Ki???,0,1,5,False,False,sw,en,9.06184,0,2,0,"{'NNP': 1, '.': 3}",121.22,0.4
101,Lekin ona nai,0,3,13,False,False,fi,es,0.055351257,0,0,0,"{'NNP': 1, 'PRP': 1, 'VBP': 1}",119.19,1.2
102,Chl dekh le jidda sae lgge,0,6,26,False,False,so,fr,-50.434227,0,2,0,"{'NNP': 1, 'NN': 5}",99.23,2.4
103,Nai sai ko matlab,0,4,17,False,False,lt,en,0.42638397,0,0,0,"{'NNP': 1, 'NN': 3}",92.8,1.6
104,Aa ki likhia aa bol k D's de,0,8,28,False,False,so,en,-78.27338,0,1,0,"{'NNP': 3, 'VBD': 1, 'JJ': 1, 'NN': 3, 'POS': 1}",114.12,3.2
105,Pej,0,1,3,False,False,id,en,9.06184,0,0,0,{'NN': 1},121.22,0.4
106,Me teno kh rhi aa,0,5,17,False,False,nl,xh,-31.175022,1,1,0,"{'NNP': 1, 'NN': 4}",117.16,2
107,Haan haan pej dei,0,4,17,False,False,nl,ms,-71.74234,0,2,0,"{'NNP': 1, 'NN': 3}",118.18,1.6
108,Computer related aa kuch?,0,4,25,False,False,en,en,-25.657463,0,1,0,"{'NNP': 1, 'VBD': 1, 'JJ': 1, 'NN': 1, '.': 1}",33.58,21.6
109,,0,0,0,False,False,Unknown,en,9.06184,0,0,0,{},206.84,0
110,Me kh rhi aaaaaaaa ki likhiaaaaa aaaaaa,0,7,39,False,False,so,qu,-58.640717,1,16,0,"{'NNP': 1, 'VBZ': 1, 'JJ': 1, 'NN': 4}",106.67,2.8
111,Nai sai ki matlab,0,4,17,False,False,id,en,0.42638397,0,0,0,"{'NNP': 1, 'NN': 3}",92.8,1.6
112,Bol k ds de meno idea hi nhi smjh aa ria,0,11,40,False,False,et,it,-127.78302,0,1,0,"{'NNP': 1, 'VBD': 1, 'FW': 3, 'NN': 5, 'JJ': 1}",111.07,4.4
113,Hand free hei,0,3,13,False,False,en,en,-12.724445,0,1,0.7579,"{'NNP': 1, 'JJ': 1, 'NN': 1}",119.19,1.2
114,Mere kol??,0,2,10,False,False,no,en,9.06184,0,1,0,"{'NNP': 1, 'VB': 1, '.': 2}",120.21,0.8
115,Han g roommate laagei te nai,0,6,28,False,False,nl,nl,-35.357548,0,3,0,"{'NNP': 1, 'NN': 5}",99.23,2.4
116,Hn lkn handfree Hy,0,4,18,False,False,af,en,-12.319679,0,1,0,"{'NNP': 2, 'VBD': 1, 'JJ': 1}",92.8,1.6
117,Oka oka,0,2,7,False,False,sw,en,9.06184,0,0,0,"{'NNP': 1, 'NN': 1}",120.21,0.8
118,Gg,0,1,2,False,False,de,en,9.06184,0,0,0.296,{'NN': 1},121.22,0.4
119,Hor,0,1,3,False,False,nl,en,9.06184,0,0,0,{'NN': 1},121.22,0.4
120,Kal lecture hei?,0,3,16,False,False,ro,fr,0.30207205,0,0,0,"{'NNP': 1, 'NN': 2, '.': 1}",93.81,1.2
121,"Of course
Wrna ghr na hondi",0,6,27,False,False,en,sv,1.2192378,1,0,0,"{'IN': 1, 'NN': 4, 'NNP': 1}",90.77,2.4
122,Acha Mubarak howei ma shaa Allah 4/4,0,7,36,True,False,so,sw,-48.87162,1,2,0,"{'NNP': 3, 'NN': 2, 'VBD': 1, 'CD': 1}",106.67,2.8
123,Alhmdullilah,0,1,12,False,False,tr,et,-17.154526,0,1,0,{'NN': 1},-47.99,40.4
124,"Allah Tala da lkh lkh shukr 
I wasn't expecting lkn bs bht Khushi hoi v",0,15,71,False,False,id,ms,-93.462715,2,1,0,"{'NNP': 3, 'NN': 8, 'PRP': 1, 'VBD': 1, 'RB': 1, 'VBG': 1, 'JJ': 1}",81.63,8.67
125,,0,0,0,False,False,Unknown,en,9.06184,0,0,0,{},206.84,0
126,"Class ch c me nhi gpa check kiti c meno krni nii oondi c 
Mam ne dsia k 8 toppers aa fer jido Mera Naam Lia te Bs",0,28,113,True,False,it,sw,-228.8422,1,6,0,"{'NN': 10, 'VB': 1, 'PRP': 1, 'JJ': 5, 'VBD': 2, 'NNP': 5, 'CD': 1, 'NNS': 1, 'VBP': 2}",85.36,11.2
127,Hun aaa gai ya nai?,0,5,19,False,False,id,sw,-42.664837,0,2,0,"{'NNP': 1, 'NN': 4, '.': 1}",117.16,2
128,Kiiii,0,1,5,False,False,sw,en,9.06184,0,3,0,{'NNP': 1},-47.99,40.4
129,Aaaa gaeee,0,2,10,False,False,so,fi,1.1467118,0,4,0,"{'NNP': 1, 'NN': 1}",120.21,0.8
130,Good hogia,0,2,10,False,False,cy,en,9.06184,0,1,0.4404,"{'JJ': 1, 'NN': 1}",120.21,0.8
131,Mwin edei uttei project kitta kawei te code bna da bs input dain kudh calculate kr dai gi,0,18,89,False,False,it,nn,-152.84265,0,2,0,"{'NNP': 1, 'NN': 13, 'VBZ': 1, 'JJ': 2, 'VBP': 1}",78.59,9.42
132,"Waaaaah 
Allah Tala Kambyab krn",0,5,31,False,False,so,ms,-23.434292,0,5,0,"{'NNP': 4, 'NN': 1}",66.4,2
133,Ameen,0,1,5,False,False,nl,en,2.089343,0,1,0,{'NN': 1},121.22,0.4
134,Aaa buhat basic cheez aaa,0,5,25,False,False,so,tl,-92.73364,0,4,0,"{'NNP': 1, 'WP': 1, 'JJ': 1, 'NN': 2}",100.24,2
135,Fer v mere wrge insan lae bht wddi cheez aa,0,10,43,False,False,nl,ht,-95.6874,0,3,0,"{'NNP': 1, 'NN': 6, 'RB': 1, 'JJ': 2}",95.17,4
136,Hmm keh sakdei,0,3,14,False,False,id,et,-17.509525,0,1,0,"{'NNP': 1, 'VBD': 1, 'NN': 1}",119.19,1.2
137,Yesss,0,1,5,False,False,fi,en,9.06184,0,2,0,{'NN': 1},121.22,0.4
138,Idrun free ho ke bna ke pejan ga app in shaa Allah,0,12,50,False,False,so,ms,-103.47878,1,4,0.5106,"{'NNP': 2, 'JJ': 1, 'NN': 8, 'IN': 1}",93.14,4.8
139,Mere kol bania pia,0,4,18,False,False,id,pl,-16.931427,0,0,0,"{'NNP': 1, 'VBZ': 1, 'NN': 2}",92.8,1.6
140,Pr tenu setting krni nai oni aeis lai app wich deploye kr ke pejan ga,0,15,69,False,False,id,cy,-140.17085,0,2,0,"{'NNP': 1, 'NN': 10, 'VBG': 1, 'JJ': 3}",90.09,6
141,Wese kheriat nal aaya c???,0,5,26,False,False,id,tl,-41.002224,0,3,0,"{'JJ': 2, 'VBD': 1, 'NN': 2, '.': 3}",83.32,10
142,Pta nii oo ki honda,0,5,19,False,False,et,ro,1.4794073,0,2,0,"{'NNP': 1, 'CC': 1, 'JJ': 1, 'NN': 2}",100.24,2
143,Han g ami sundas ba g mariam da beta eisa dekhan mein bhai farukh kol,0,15,69,False,False,id,id,-153.68898,0,0,0,"{'NNP': 1, 'NN': 14}",90.09,6
144,Fr chala gya,0,3,12,False,False,cy,fr,-9.955594,0,0,0,"{'NNP': 1, 'NN': 2}",93.81,1.2
145,Sae sae,0,2,7,False,False,cy,en,9.06184,0,0,0,"{'NNP': 1, 'NN': 1}",120.21,0.8
146,3 din baaad aaaya fr dubaara bhai ne bula lia,0,10,45,True,False,so,tl,-95.6158,0,5,0,"{'CD': 1, 'JJ': 2, 'NN': 7}",103.63,4
147,"Sundas no v lae oonda
Shaed kl chutia ho Jaan",0,10,45,False,False,et,pt,-68.07775,1,2,-0.296,"{'NNP': 3, 'DT': 1, 'NN': 4, 'VBZ': 1, 'JJ': 1}",95.17,4
148,,0,0,0,False,False,Unknown,en,9.06184,0,0,0,{},206.84,0
149,Kiii,0,1,4,False,False,sw,en,9.06184,0,2,0,{'NNP': 1},36.62,0.4
150,Huni keh ri si ke hod ne kia lecture hunwi,0,10,42,False,False,et,eo,-48.976795,0,0,-0.6369,"{'NNP': 1, 'VBD': 1, 'JJ': 2, 'NN': 6}",86.71,4
151,Ooda Lec le k hi shaed kl off ho jave,0,10,37,False,False,en,xh,-69.62803,1,1,0,"{'NNP': 2, 'VBZ': 1, 'FW': 1, 'JJ': 1, 'NN': 3, 'VBD': 1, 'RP': 1}",103.63,4
152,"Q k Monday Tuesday ooda Lec Honda
Baaki teachers shaed mn jaan",0,12,62,False,False,so,la,-54.125034,0,3,0,"{'NNP': 6, 'NN': 3, 'MD': 1, 'NNS': 1, 'VBP': 1}",67.76,4.8
153,Saade 65% hondi,0,3,15,True,False,nl,et,0.21184349,0,1,0,"{'VB': 1, 'CD': 1, 'NN': 2}",93.81,1.2
154,Han me v aehi sooch rhi bs aeda lec ho jaave ak dfa,0,13,51,False,False,sk,cy,-100.12773,1,2,0,"{'NNP': 1, 'PRP': 1, 'VBP': 2, 'JJ': 1, 'NN': 7, 'VBN': 1}",92.12,5.2
155,Shabashei,0,1,9,False,False,so,en,9.06184,0,0,0,{'NN': 1},121.22,0.4
156,Fr wi tension,0,3,13,False,False,en,en,9.06184,0,0,-0.3182,"{'NNP': 1, 'NN': 2}",93.81,1.2
157,Meri 95% hove meno ta v hondi,0,7,29,True,False,sk,sl,-17.95197,0,0,0,"{'NNP': 1, 'CD': 1, 'NN': 6}",106.67,2.8
158,Kyun marks hundei edei,0,4,22,False,False,de,it,-29.834122,0,0,0,"{'NNP': 1, 'NNS': 1, 'VBD': 1, 'NN': 1}",92.8,1.6
159,Nii lkn mental satisfaction,0,4,27,False,False,ro,ro,-5.3311224,0,1,0.4404,"{'NNP': 1, 'VBZ': 1, 'JJ': 1, 'NN': 1}",33.58,11.6
160,Aaa wi sai aa,0,4,13,False,False,so,sw,-27.628555,0,2,0,"{'NNP': 1, 'NN': 3}",118.18,1.6
161,Yess,0,1,4,False,False,fi,en,9.06184,0,1,0,{'NN': 1},121.22,0.4
162,Allah menu wi eda da shiuk dawei,0,7,32,False,False,id,id,-27.203665,0,1,0,"{'NNP': 1, 'NN': 6}",106.67,2.8
163,So ke lecture lai da,0,5,20,False,False,fr,fr,-38.342327,1,0,0,"{'RB': 1, 'JJ': 1, 'NN': 3}",100.24,2
164,Hod wale Lec ch me v suti hi huni aa,0,10,36,False,False,sw,en,-78.24559,1,1,0,"{'NNP': 2, 'NN': 6, 'PRP': 1, 'IN': 1}",95.17,4
165,,0,0,0,False,False,Unknown,en,9.06184,0,0,0,{},206.84,0
166,Mein wazia 3 kursian laaa ke suttan hundan,0,8,42,True,False,sw,ms,-158.72084,0,3,0,"{'NNP': 1, 'VBD': 1, 'CD': 1, 'JJ': 1, 'NN': 4}",80.28,3.2
167,Akar agei Beth ke wi,0,5,20,False,False,id,de,2.1633463,0,0,0,"{'NNP': 2, 'NN': 3}",117.16,2
168,Teacher nii kush khnde???,0,4,25,False,False,de,en,-16.114725,0,3,0,"{'NNP': 1, 'CC': 1, 'VB': 1, 'NN': 1, '.': 3}",92.8,1.6
169," 
Nau",0,1,5,False,False,de,en,9.06184,0,0,0,{'NN': 1},121.22,0.4
170,Bare ache waqia hoye aa,0,5,23,False,False,so,en,-59.144596,0,1,-0.3818,"{'NNP': 1, 'NN': 4}",117.16,2
171,matlab,0,1,6,False,False,tl,en,9.06184,0,0,0,{'NN': 1},36.62,0.4
172,Mtlb kush nii khnde aes lae,0,6,27,False,False,et,zu,-36.49533,0,1,0,"{'NNP': 1, 'NN': 5}",116.15,2.4
173,bs menu nai kehendei aeis lai bachei wcharee,0,8,44,False,False,de,de,-134.54239,0,1,0,"{'NN': 7, 'JJ': 1}",80.28,8.2
174,Ki mtlb,0,2,7,False,False,sw,en,9.06184,0,0,0,"{'NNP': 1, 'NN': 1}",120.21,0.8
175,Yaaani ALHAMDULILLAH protocol milda,0,4,35,False,False,et,et,-17.19556,0,3,0,"{'NNP': 2, 'NN': 2}",-8.73,21.6
176,Pr number nai didnei,0,4,20,False,False,id,it,1.9902043,0,0,0.0772,"{'NNP': 1, 'NN': 3}",75.88,1.6
177,Kinni CGPA,0,2,10,False,False,sw,en,9.06184,0,1,0,{'NNP': 2},35.61,0.8
178,Wese me sunia it doesn't matter,0,6,31,False,False,af,en,-22.056812,3,1,-0.0191,"{'JJ': 1, 'PRP': 2, 'VB': 2, 'VBZ': 1, 'RB': 1}",73.85,2.4
179,Bilkul,0,1,6,False,False,tr,id,-9.065241,0,0,0,{'NN': 1},121.22,0.4
180,,0,0,0,False,False,Unknown,en,9.06184,0,0,0,{},206.84,0
181,3.77 tu 3.49 2 position tu 5,0,7,28,True,False,fi,fi,-6.613381,0,1,0,"{'CD': 4, 'JJ': 1, 'NN': 2}",93.3,7.11
182,Ksi teacher ne gussa kia,0,5,24,False,False,et,it,-47.910328,0,1,-0.6369,"{'NNP': 1, 'CC': 1, 'JJ': 1, 'NN': 2}",83.32,2
183,Kdia,0,1,4,False,False,id,en,9.06184,0,0,0,{'NNP': 1},121.22,0.4
