,Chatting
148,
149,Kiii
150,Huni keh ri si ke hod ne kia lecture hunwi
151,Ooda Lec le k hi shaed kl off ho jave
152,"Q k Monday Tuesday ooda Lec Honda
Baaki teachers shaed mn jaan"
153,Saade 65% hondi
154,Han me v aehi sooch rhi bs aeda lec ho jaave ak dfa
155,Shabashei
156,Fr wi tension
157,Meri 95% hove meno ta v hondi
158,Kyun marks hundei edei
159,Nii lkn mental satisfaction
160,Aaa wi sai aa
161,Yess
162,Allah menu wi eda da shiuk dawei
163,So ke lecture lai da
164,Hod wale Lec ch me v suti hi huni aa
165,
166,Mein wazia 3 kursian laaa ke suttan hundan
167,Akar agei Beth ke wi
168,Teacher nii kush khnde???
169," 
Nau"
170,Bare ache waqia hoye aa
171,matlab
172,Mtlb kush nii khnde aes lae
173,bs menu nai kehendei aeis lai bachei wcharee
174,Ki mtlb
175,Yaaani ALHAMDULILLAH protocol milda
176,Pr number nai didnei
177,Kinni CGPA
178,Wese me sunia it doesn't matter
179,Bilkul
180,
181,3.77 tu 3.49 2 position tu 5
182,Ksi teacher ne gussa kia
183,Kdia
184,Nai
185,Fer
186,Mein O waaan jinnei dean te gussa kaddia
187,Aesi wja tu??
188,Nai
189,Mein class chei betha kehenda lab mein jao
190,Mein wo sunaoyan onei wi fr onei meri tasveer bna li
191,Te chal gya
192,Dsia c tu
193,
194,Hun maza onda
195,Je O kad dinda 
196,Fer tu Ksi hor uni ch ja ria honda
197,N
198,Aaho
199,Agei parhai nai kr sakda si fr
200,"Koi naaaa
Ithe canteen da bht scope aa uni ch"
201,
202,Ona ne wi nai rakhna si
203,"Nhi oo te rkh hi Len ge 
Khushi Khushi km tnkhwa te"
204,Ona ne sehat dekh ke ba kr deni si
205,Naaa aethe bht scope aa tu dukan la lae uni de agge
206,
207,Sorry pul gia si
208,Lg ria c pta
209,
210,Chal sai aaa
211,Okkkkkkkkk
212,"Assalam o alaikum
Ki Haal aa"
213,Ws
214,Alhamdulillah
215,Tu suna
216,Alhmdullilah
217,Ki hua
218,Ki?
219,Kheir si
220,Han taane milde bd cho aes lae
221,Keis cheez dei
222,Wese hi
223,Hor ki ho ria aj kl
224,Bs rest jia hi aik game bnaa rian aaaj kal
225,Saturday shaam nu aaa ya si
226,Chitistian tu
227,Tu suna ghar aaa gain?
228,Yess
229,Shaam nu free
230,Ki??
231,Yaaani raaat free huni ya masroof
232,"Free huni 11 wje Soo jani aa
Ghr aa k mbl km use krdi aa"
233,Acha chal fr sai
234,Yes
235,Shukria yaaad karn lai
236,Raaat time horror movie dekh lai aaa
237,Kehri??
238,Bhool bhulaiya 2
239,Zyada horror aa??
240,Nak funny te horror aaa
241,Yaaani acahank aa agia scene
242,Fer te kher aa
243,
244,iddan di game kheldin
245,Mzeed di aaa
246,Pejan
247,Mein bnai
248,Yess
249,Nai halei
250,"Taalian
Achi aaa"
251,Play store tu karin
252,Kes name te aa
253,Haje hor working krni zara fr hassan nu salgirah gift de tor te send kar daon ga. Odi pic send laaa ke
254,Haje thori working kr ke
255,
256,Kinni der ch ho
257,In shaa Allah eid tu for an baad ya eid te
258,Ki hua
259,Hun meno idda di game lbni peni
260,Kyun ki hua
261,Kheln no Dil kr ria
262,Laptop te chal sakdi haje
263,Aese lae oodo tk koi hor idda di lb Leni aa
264,
265,Shaaam tak intezaar kr la
266,Mein tenu send kar daon ga
267,Nii koi nii jido complete ho jaye Ds dae
268,https://www.instagram.com/reel/CuCgLalNz8y/?igshid=MTc4MmM1YmI2Ng==
269,Saee aa
270,Not for you
271,
272,"Pta aa 
Me saeee aa aese lae kia"
273,It's for for but my heart lived person name hamna
274,Ja ja tur ja
275,Naaaal chalun gi
276,"Meno drame psnd nii
Drame aale dialogue bilkul v nhi 
Seedha seedha khi kl Eid Mubarak"
277,Same menu wi pasand nai
278,Pr haaaan tu pasand aaan
279,Meno v me bht psnd aa
280,Ki cheez
281,Me khud
282,Ok OK sorry
283,Kes laae
284,Odanhi
285,Ach
